epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,18926.1,1.33567,1.72582,1.35155,0.57102,0.39835,0.43002,0.29648,1.21806,1.45708,1.25518,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,19359.2,1.3284,1.73389,1.34918,0.57329,0.39512,0.42829,0.29562,1.21977,1.46523,1.25645,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,19798.9,1.33298,1.71911,1.35008,0.57595,0.3933,0.42677,0.29455,1.22184,1.47396,1.25764,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,20218,1.33055,1.71656,1.34777,0.5787,0.3895,0.42481,0.2933,1.22299,1.48218,1.25856,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,20645,1.32571,1.71831,1.34474,0.57564,0.38999,0.42339,0.29247,1.22403,1.49047,1.25941,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,21075.5,1.3326,1.71661,1.34931,0.58038,0.3868,0.4218,0.29176,1.22545,1.49808,1.26041,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,21493.9,1.31754,1.71636,1.34605,0.57385,0.38558,0.42073,0.29103,1.22568,1.50401,1.26053,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,21921.2,1.33113,1.71142,1.34617,0.57648,0.3839,0.42005,0.29041,1.22653,1.50981,1.26106,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,22349.4,1.32356,1.70959,1.34341,0.57647,0.38357,0.41959,0.29011,1.22682,1.51523,1.26127,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,22772.1,1.32725,1.70898,1.34395,0.5775,0.38359,0.42051,0.29095,1.22584,1.51611,1.26029,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,23169.6,1.32945,1.71202,1.34692,0.57773,0.38649,0.42198,0.29185,1.22384,1.51356,1.25882,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,23435.2,1.32185,1.69811,1.34244,0.57944,0.38545,0.42267,0.29251,1.22335,1.51313,1.25841,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,23707.3,1.32464,1.69633,1.34237,0.58374,0.38458,0.42282,0.29296,1.22237,1.51317,1.25797,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,23971.9,1.32296,1.69698,1.34349,0.57922,0.38613,0.42306,0.29293,1.2215,1.51346,1.25734,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,24235.5,1.32414,1.69314,1.33756,0.58006,0.38559,0.42284,0.2929,1.22133,1.51502,1.25725,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,24499.4,1.32101,1.70153,1.3412,0.57936,0.38497,0.42292,0.29278,1.2214,1.51683,1.25731,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,24765.6,1.32136,1.70204,1.34058,0.57833,0.38375,0.42264,0.29261,1.22188,1.52006,1.25742,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,25023.9,1.31758,1.6854,1.33768,0.58315,0.38201,0.4229,0.29255,1.22226,1.52203,1.25765,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,25286.7,1.3199,1.68477,1.33931,0.58367,0.38121,0.42253,0.2925,1.2233,1.52503,1.25803,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,25544.8,1.31876,1.69744,1.33661,0.58289,0.38042,0.42245,0.29183,1.22394,1.52765,1.25834,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
