epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,13879.7,1.29544,1.66062,1.32204,0.58474,0.38977,0.43177,0.29868,1.20023,1.48492,1.2393,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,14052.9,1.29485,1.66924,1.31924,0.5857,0.39047,0.43217,0.29913,1.19996,1.48582,1.2391,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,14223.6,1.29704,1.67135,1.32047,0.58761,0.3896,0.43189,0.29902,1.19991,1.48652,1.23891,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,14396.1,1.2967,1.66266,1.31962,0.58748,0.39092,0.4321,0.29922,1.19933,1.48659,1.23843,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,14569,1.29312,1.66465,1.31787,0.58909,0.39028,0.4324,0.2995,1.19881,1.48673,1.23793,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,14741.2,1.29922,1.6667,1.3206,0.58921,0.39123,0.43278,0.3,1.19835,1.48662,1.23754,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,14915.4,1.29903,1.66135,1.31686,0.58975,0.39254,0.4333,0.30038,1.19786,1.48626,1.23705,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,15087.8,1.29583,1.66859,1.31867,0.59289,0.39047,0.43372,0.30086,1.19745,1.48609,1.23669,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,15259.5,1.29007,1.6542,1.31642,0.59465,0.39083,0.43415,0.30118,1.197,1.48566,1.23637,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,15431.5,1.29125,1.65666,1.31705,0.59806,0.39107,0.43454,0.30147,1.19671,1.48589,1.23612,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,15606,1.29559,1.65949,1.31732,0.59796,0.39203,0.43526,0.3021,1.19622,1.48407,1.23553,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,15777.4,1.29754,1.65858,1.31788,0.59813,0.39277,0.43592,0.3024,1.19566,1.48263,1.23499,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,15950,1.29759,1.65224,1.32002,0.59829,0.39322,0.43634,0.30282,1.19528,1.48126,1.23455,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,16122.9,1.2932,1.65838,1.31612,0.60293,0.39311,0.43654,0.30296,1.1948,1.48031,1.23401,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,16295.3,1.28756,1.64554,1.31474,0.60261,0.39379,0.43734,0.30352,1.19408,1.47862,1.23335,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,16467.4,1.29852,1.65001,1.31831,0.6016,0.3945,0.4379,0.30422,1.19346,1.47685,1.23292,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,16640,1.29299,1.64356,1.31235,0.60037,0.39508,0.43837,0.30456,1.19294,1.475,1.23236,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,16812.8,1.29063,1.63985,1.31183,0.6024,0.3946,0.43904,0.30498,1.19205,1.47299,1.23147,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,16988.7,1.29013,1.64261,1.31157,0.60137,0.39518,0.43943,0.30542,1.19138,1.47137,1.23076,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,17162.3,1.28346,1.63791,1.31082,0.60211,0.39627,0.43994,0.30584,1.19092,1.46941,1.23013,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,17334.9,1.29349,1.63838,1.31635,0.60472,0.396,0.44029,0.30618,1.19036,1.46727,1.2297,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,17508,1.29093,1.65049,1.31487,0.60282,0.39684,0.44007,0.30616,1.1898,1.46484,1.22927,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,17681.4,1.28103,1.64211,1.31008,0.60357,0.3966,0.44061,0.30664,1.18905,1.46184,1.22851,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,17853.2,1.28092,1.65062,1.31203,0.60307,0.39788,0.44107,0.30703,1.18825,1.45957,1.22766,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,18024.7,1.29008,1.63618,1.31234,0.60273,0.39785,0.44171,0.30759,1.18771,1.45753,1.22699,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,18198.1,1.28515,1.63485,1.31018,0.60077,0.39888,0.44249,0.30791,1.18715,1.45459,1.2263,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
