epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,41405.9,1.1623,1.35031,1.27284,0.65656,0.53472,0.58248,0.42366,1.03029,1.04926,1.16898,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,42602.3,1.15507,1.3451,1.27067,0.65275,0.54045,0.58309,0.42412,1.02941,1.04838,1.16852,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,43577.3,1.14858,1.34257,1.26802,0.65171,0.53918,0.58367,0.42446,1.02928,1.04757,1.1682,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,44557.8,1.15347,1.34513,1.26856,0.65452,0.53824,0.58388,0.42456,1.02906,1.04719,1.16809,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,45543.9,1.15153,1.33505,1.26633,0.65557,0.53768,0.58421,0.42475,1.02893,1.0466,1.16783,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,46518.2,1.15604,1.34093,1.26994,0.65388,0.539,0.58412,0.42498,1.02897,1.04643,1.16774,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,47492.8,1.15229,1.33305,1.26605,0.6621,0.53398,0.58397,0.42502,1.02893,1.04681,1.16752,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,48466.9,1.14951,1.32481,1.26287,0.65816,0.5376,0.58424,0.42505,1.0288,1.04703,1.16752,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,49442,1.14831,1.33011,1.26315,0.66135,0.53559,0.5843,0.42535,1.02871,1.04802,1.16737,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,50416.6,1.14975,1.32615,1.26542,0.66283,0.53494,0.58477,0.42562,1.0288,1.04882,1.1674,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,51405.9,1.15036,1.32624,1.26424,0.66694,0.53344,0.58527,0.42588,1.02875,1.04991,1.16729,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,52381.7,1.14725,1.32236,1.26068,0.66821,0.53416,0.5858,0.42627,1.02767,1.05097,1.16664,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,53356.7,1.14653,1.31125,1.26102,0.6674,0.53592,0.58565,0.42619,1.02681,1.05241,1.16633,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
