epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,18280.4,1.08538,1.22661,1.2275,0.69033,0.53724,0.60074,0.44071,0.99947,1.06317,1.16266,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,18552.1,1.08706,1.22951,1.23106,0.68944,0.53627,0.6005,0.44075,0.99949,1.06673,1.16281,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,18820.9,1.08334,1.22625,1.22867,0.69159,0.5346,0.5999,0.44041,0.99946,1.07011,1.16271,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,19090.4,1.0842,1.22606,1.22876,0.69249,0.53428,0.59953,0.43987,0.99945,1.07319,1.16274,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,19360.1,1.08488,1.22476,1.22834,0.69001,0.53468,0.5992,0.43964,0.99941,1.07654,1.16286,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,19631.2,1.08542,1.22426,1.22801,0.69091,0.53471,0.59895,0.43955,0.99939,1.07949,1.16301,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,19901.6,1.08687,1.22287,1.23,0.69147,0.53489,0.59904,0.43958,0.9992,1.08255,1.16306,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,20169.5,1.08131,1.21632,1.22811,0.69321,0.5348,0.59896,0.43951,0.99889,1.08492,1.16297,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,20441.7,1.08424,1.20917,1.22501,0.68985,0.53671,0.59877,0.43969,0.9991,1.08732,1.163,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,20709.6,1.08013,1.21529,1.22676,0.68997,0.53557,0.59845,0.43967,0.99914,1.0892,1.16314,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,20980.7,1.08284,1.21044,1.22349,0.69272,0.53402,0.59851,0.43986,0.99892,1.09125,1.16287,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,21251.9,1.07992,1.21771,1.22949,0.69363,0.53329,0.5993,0.4405,0.99886,1.09336,1.16287,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
